,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM,LOCATION,SWIM SEC,T1 SEC,BIKE SEC,T2 SEC,RUN SEC,TOTAL TIME SEC,ATHLETE
41,Kristian,Blummenfelt,NOR,8,0:18:35,0:01:06,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1115,66,0,0,0,0,Kristian Blummenfelt
42,Jonathan,Zipf,GER,14,0:19:23,0:01:06,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1163,66,0,0,0,0,Jonathan Zipf
43,David,Castro Fajardo,ESP,28,0:19:37,0:01:30,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Men,Abu Dhabi,1177,90,0,0,0,0,David Castro Fajardo
44,Temirlan,Temirov,KAZ,52,0:19:48,0:01:09,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1188,69,0,0,0,0,Temirlan Temirov
45,Dorian,Coninx,FRA,16,0:18:44,0:01:05,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1124,65,0,0,0,0,Dorian Coninx
46,Lawrence,Fanous,JOR,48,0:19:23,0:01:05,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1163,65,0,0,0,0,Lawrence Fanous
47,Wian,Sullwald,RSA,39,0:18:36,0:01:01,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1116,61,0,0,0,0,Wian Sullwald
48,Jonas,Schomburg,ITU,20,0:18:33,0:01:05,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1113,65,0,0,0,0,Jonas Schomburg
49,Domen,Dornik,SLO,53,0:18:40,0:01:04,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1120,64,0,0,0,0,Domen Dornik
50,Gustav,Iden,NOR,35,0:19:47,0:01:07,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1187,67,0,0,0,0,Gustav Iden
51,Filipe,Azevedo,POR,54,0:19:49,0:01:10,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1189,70,0,0,0,0,Filipe Azevedo
52,Matthew,Baker,AUS,38,0:19:04,0:01:03,1:01:36,0:00:31,0:33:35,DSQ,DSQ,Elite Men,Abu Dhabi,1144,63,3696,31,2015,0,Matthew Baker
53,Menno,Koolhaas,NED,50,0:18:59,0:01:05,1:01:43,0:00:33,0:34:03,DSQ,DSQ,Elite Men,Abu Dhabi,1139,65,3703,33,2043,0,Menno Koolhaas
54,Andrea,Hewitt,NZL,4,0:19:53,0:01:08,1:06:24,0:00:32,0:35:51,1,2:03:46,Elite Women,Abu Dhabi,1193,68,3984,32,2151,7426,Andrea Hewitt
55,Jodie,Stimpson,GBR,5,0:19:51,0:01:09,1:06:24,0:00:33,0:35:51,2,2:03:46,Elite Women,Abu Dhabi,1191,69,3984,33,2151,7426,Jodie Stimpson
56,Sara,Vilic,AUT,16,0:19:50,0:01:08,1:06:26,0:00:34,0:35:56,3,2:03:53,Elite Women,Abu Dhabi,1190,68,3986,34,2156,7433,Sara Vilic
57,Rachel,Klamer,NED,8,0:19:50,0:01:12,1:06:22,0:00:32,0:36:22,4,2:04:17,Elite Women,Abu Dhabi,1190,72,3982,32,2182,7457,Rachel Klamer
58,Ai,Ueda,JPN,2,0:20:41,0:01:12,1:06:17,0:00:31,0:36:13,5,2:04:52,Elite Women,Abu Dhabi,1241,72,3977,31,2173,7492,Ai Ueda
59,Gillian,Backhouse,AUS,28,0:19:37,0:01:09,1:06:37,0:00:33,0:37:02,6,2:04:56,Elite Women,Abu Dhabi,1177,69,3997,33,2222,7496,Gillian Backhouse
60,Katie,Zaferes,USA,3,0:19:18,0:01:11,1:06:56,0:00:35,0:37:04,7,2:05:02,Elite Women,Abu Dhabi,1158,71,4016,35,2224,7502,Katie Zaferes
61,Lisa,Perterer,AUT,24,0:20:43,0:01:07,1:06:18,0:00:35,0:36:23,8,2:05:05,Elite Women,Abu Dhabi,1243,67,3978,35,2183,7505,Lisa Perterer
62,Yuko,Takahashi,JPN,20,0:19:43,0:01:08,1:06:34,0:00:29,0:37:14,9,2:05:07,Elite Women,Abu Dhabi,1183,68,3994,29,2234,7507,Yuko Takahashi
63,Rebecca,Spence,NZL,23,0:20:43,0:01:10,1:06:15,0:00:34,0:36:33,10,2:05:13,Elite Women,Abu Dhabi,1243,70,3975,34,2193,7513,Rebecca Spence
64,Jolanda,Annen,SUI,17,0:20:41,0:01:08,1:06:20,0:00:33,0:37:10,11,2:05:50,Elite Women,Abu Dhabi,1241,68,3980,33,2230,7550,Jolanda Annen
65,Vendula,Frintova,CZE,9,0:20:40,0:01:12,1:06:18,0:00:30,0:37:18,12,2:05:56,Elite Women,Abu Dhabi,1240,72,3978,30,2238,7556,Vendula Frintova
66,Mariya,Shorets,RUS,15,0:20:38,0:01:12,1:06:20,0:00:34,0:37:21,13,2:06:03,Elite Women,Abu Dhabi,1238,72,3980,34,2241,7563,Mariya Shorets
67,Anastasia,Abrosimova,RUS,11,0:19:14,0:01:09,1:07:48,0:00:36,0:37:57,14,2:06:43,Elite Women,Abu Dhabi,1154,69,4068,36,2277,7603,Anastasia Abrosimova
68,Charlotte,McShane,AUS,6,0:19:52,0:01:10,1:06:24,0:00:33,0:38:56,15,2:06:54,Elite Women,Abu Dhabi,1192,70,3984,33,2336,7614,Charlotte McShane
69,India,Lee,GBR,29,0:20:36,0:01:14,1:06:21,0:00:36,0:38:26,16,2:07:11,Elite Women,Abu Dhabi,1236,74,3981,36,2306,7631,India Lee
70,Kirsten,Kasper,USA,10,0:19:36,0:01:10,1:08:40,0:00:34,0:37:27,17,2:07:24,Elite Women,Abu Dhabi,1176,70,4120,34,2247,7644,Kirsten Kasper
71,Alice,Betto,ITA,32,0:19:34,0:01:10,1:06:42,0:00:38,0:39:50,18,2:07:52,Elite Women,Abu Dhabi,1174,70,4002,38,2390,7672,Alice Betto
72,Emmie,Charayron,FRA,19,0:20:32,0:01:13,1:09:15,0:00:35,0:36:32,19,2:08:04,Elite Women,Abu Dhabi,1232,73,4155,35,2192,7684,Emmie Charayron
73,Gillian,Sanders,RSA,25,0:20:43,0:01:09,1:10:58,0:00:36,0:37:43,20,2:11:08,Elite Women,Abu Dhabi,1243,69,4258,36,2263,7868,Gillian Sanders
74,Aoi,Kuramoto,JPN,31,0:20:40,0:01:11,1:10:59,0:00:35,0:38:27,21,2:11:49,Elite Women,Abu Dhabi,1240,71,4259,35,2307,7909,Aoi Kuramoto
75,Renee,Tomlin,USA,12,0:20:42,0:01:07,1:10:56,0:00:35,0:39:06,22,2:12:24,Elite Women,Abu Dhabi,1242,67,4256,35,2346,7944,Renee Tomlin
76,Summer,Cook,USA,14,0:19:13,0:01:12,1:12:27,0:00:38,0:39:04,23,2:12:31,Elite Women,Abu Dhabi,1153,72,4347,38,2344,7951,Summer Cook
77,Carolina,Routier,ESP,18,0:19:11,0:01:14,1:12:26,0:00:36,0:40:09,24,2:13:33,Elite Women,Abu Dhabi,1151,74,4346,36,2409,8013,Carolina Routier
78,Juri,Ide,JPN,27,0:19:39,0:01:14,1:08:51,0:00:39,0:43:59,25,2:14:20,Elite Women,Abu Dhabi,1179,74,4131,39,2639,8060,Juri Ide
79,Petra,Kurikova,CZE,30,0:20:41,0:01:11,1:12:28,0:00:33,0:39:35,26,2:14:26,Elite Women,Abu Dhabi,1241,71,4348,33,2375,8066,Petra Kurikova
80,Yurie,Matsuda,JPN,21,0:20:40,0:01:09,1:12:32,0:00:37,0:42:09,27,2:17:04,Elite Women,Abu Dhabi,1240,69,4352,37,2529,8224,Yurie Matsuda
81,Claudia,Rivas,MEX,26,0:20:42,0:01:14,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Abu Dhabi,1242,74,0,0,0,0,Claudia Rivas
82,Sarah,TRUE,USA,7,0:19:21,0:01:10,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Abu Dhabi,1161,70,0,0,0,0,Sarah TRUE
83,Melanie,Santos,POR,22,0:19:52,0:01:10,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Abu Dhabi,1192,70,0,0,0,0,Melanie Santos
84,Vicky,Annis,GBR,,,,,,,,,NF Medicals,Abu Dhabi,0,0,0,0,0,0,Vicky Annis
85,Victor,Carapelho,USA,,,,,,,,,NF Medicals,Abu Dhabi,0,0,0,0,0,0,Victor Carapelho
86,Anne,Gouron,FRA,,,,,,,,,NF Medicals,Abu Dhabi,0,0,0,0,0,0,Anne Gouron
87,Mario,Mola,ESP,1,0:08:59,0:00:52,0:29:58,0:00:24,0:14:36,1,0:54:51,Elite Men,Edmonton,539,52,1798,24,876,3291,Mario Mola
88,Jacob,Birtwhistle,AUS,7,0:09:07,0:00:50,0:29:52,0:00:25,0:14:45,2,0:55:01,Elite Men,Edmonton,547,50,1792,25,885,3301,Jacob Birtwhistle
89,Richard,Murray,RSA,4,0:09:03,0:00:48,0:29:57,0:00:25,0:14:50,3,0:55:06,Elite Men,Edmonton,543,48,1797,25,890,3306,Richard Murray
90,Jonathan,Brownlee,GBR,12,0:08:42,0:00:51,0:30:15,0:00:25,0:14:59,4,0:55:14,Elite Men,Edmonton,522,51,1815,25,899,3314,Jonathan Brownlee
91,Raphael,Montoya,FRA,28,0:08:41,0:00:53,0:30:14,0:00:25,0:15:03,5,0:55:19,Elite Men,Edmonton,521,53,1814,25,903,3319,Raphael Montoya
92,Javier,Gomez Noya,ESP,3,0:09:00,0:00:50,0:29:59,0:00:25,0:15:08,6,0:55:24,Elite Men,Edmonton,540,50,1799,25,908,3324,Javier Gomez Noya
93,Pierre,Le Corre,FRA,21,0:08:40,0:00:54,0:30:17,0:00:24,0:15:10,7,0:55:28,Elite Men,Edmonton,520,54,1817,24,910,3328,Pierre Le Corre
94,Kristian,Blummenfelt,NOR,6,0:09:03,0:00:52,0:29:54,0:00:26,0:15:14,8,0:55:31,Elite Men,Edmonton,543,52,1794,26,914,3331,Kristian Blummenfelt
95,Fernando,Alarza,ESP,2,0:09:12,0:00:52,0:29:48,0:00:26,0:15:16,9,0:55:36,Elite Men,Edmonton,552,52,1788,26,916,3336,Fernando Alarza
96,Grant,Sheldon,GBR,42,0:09:09,0:00:53,0:29:49,0:00:26,0:15:20,10,0:55:39,Elite Men,Edmonton,549,53,1789,26,920,3339,Grant Sheldon
97,Tony,Dodds,NZL,19,0:08:44,0:00:53,0:30:13,0:00:24,0:15:26,11,0:55:41,Elite Men,Edmonton,524,53,1813,24,926,3341,Tony Dodds
98,Rodrigo,Gonzalez,MEX,39,0:09:09,0:00:49,0:29:54,0:00:26,0:15:22,12,0:55:43,Elite Men,Edmonton,549,49,1794,26,922,3343,Rodrigo Gonzalez
99,Simon,Viain,FRA,38,0:09:09,0:00:51,0:29:50,0:00:27,0:15:35,13,0:55:54,Elite Men,Edmonton,549,51,1790,27,935,3354,Simon Viain
100,Irving,Perez,MEX,36,0:08:48,0:00:52,0:30:11,0:00:26,0:15:42,14,0:56:01,Elite Men,Edmonton,528,52,1811,26,942,3361,Irving Perez
101,Lukas,Hollaus,AUT,25,0:09:12,0:00:52,0:29:48,0:00:24,0:15:47,15,0:56:04,Elite Men,Edmonton,552,52,1788,24,947,3364,Lukas Hollaus
102,Aaron,Royle,AUS,22,0:08:39,0:00:54,0:30:19,0:00:25,0:15:48,16,0:56:07,Elite Men,Edmonton,519,54,1819,25,948,3367,Aaron Royle
103,Kevin,McDowell,USA,18,0:08:56,0:00:54,0:29:57,0:00:25,0:15:54,17,0:56:08,Elite Men,Edmonton,536,54,1797,25,954,3368,Kevin McDowell
104,Jelle,Geens,BEL,44,0:09:09,0:00:50,0:29:50,0:00:24,0:15:56,18,0:56:12,Elite Men,Edmonton,549,50,1790,24,956,3372,Jelle Geens
105,Richard,Varga,SVK,16,0:08:37,0:00:54,0:30:19,0:00:33,0:15:51,19,0:56:16,Elite Men,Edmonton,517,54,1819,33,951,3376,Richard Varga
106,Luke,Willian,AUS,17,0:08:52,0:00:52,0:30:03,0:00:28,0:16:03,20,0:56:21,Elite Men,Edmonton,532,52,1803,28,963,3381,Luke Willian
107,Vincent,Luis,FRA,5,0:08:38,0:00:56,0:30:14,0:00:24,0:16:13,21,0:56:28,Elite Men,Edmonton,518,56,1814,24,973,3388,Vincent Luis
108,Ben,Kanute,USA,23,0:08:41,0:00:53,0:30:13,0:00:26,0:16:14,22,0:56:29,Elite Men,Edmonton,521,53,1813,26,974,3389,Ben Kanute
109,Matthew,Sharpe,CAN,37,0:08:57,0:00:51,0:30:02,0:00:23,0:16:16,23,0:56:31,Elite Men,Edmonton,537,51,1802,23,976,3391,Matthew Sharpe
110,Gordon,Benson,GBR,24,0:08:58,0:00:55,0:29:58,0:00:29,0:16:17,24,0:56:38,Elite Men,Edmonton,538,55,1798,29,977,3398,Gordon Benson
111,Vicente,Hernandez,ESP,8,0:09:06,0:00:50,0:29:54,0:00:26,0:16:26,25,0:56:44,Elite Men,Edmonton,546,50,1794,26,986,3404,Vicente Hernandez
112,Eli,Hemming,USA,40,0:09:06,0:00:51,0:29:55,0:00:25,0:16:31,26,0:56:49,Elite Men,Edmonton,546,51,1795,25,991,3409,Eli Hemming
113,Tony,Smoragiewicz,USA,48,0:09:12,0:00:53,0:29:56,0:00:28,0:16:18,27,0:56:49,Elite Men,Edmonton,552,53,1796,28,978,3409,Tony Smoragiewicz
114,Eric,Lagerstrom,USA,34,0:08:55,0:00:56,0:30:00,0:00:28,0:16:30,28,0:56:52,Elite Men,Edmonton,535,56,1800,28,990,3412,Eric Lagerstrom
115,David,Mendoza,MEX,47,0:08:45,0:00:53,0:30:11,0:00:29,0:16:37,29,0:56:57,Elite Men,Edmonton,525,53,1811,29,997,3417,David Mendoza
116,Danilo,Pimentel,BRA,43,0:09:02,0:00:56,0:30:04,0:00:25,0:17:05,30,0:57:33,Elite Men,Edmonton,542,56,1804,25,1025,3453,Danilo Pimentel
117,Alexis,Lepage,CAN,46,0:08:59,0:00:53,0:30:04,0:00:28,0:17:25,31,0:57:50,Elite Men,Edmonton,539,53,1804,28,1045,3470,Alexis Lepage
118,Russell,White,IRL,32,0:08:49,0:00:52,0:30:08,0:00:25,0:17:49,32,0:58:05,Elite Men,Edmonton,529,52,1808,25,1069,3485,Russell White
119,Adrien,Briffod,SUI,14,0:09:00,0:00:51,0:31:12,0:00:25,0:16:51,33,0:58:21,Elite Men,Edmonton,540,51,1872,25,1011,3501,Adrien Briffod
120,Declan,Wilson,AUS,20,0:09:06,0:00:54,0:31:04,0:00:28,0:17:20,34,0:58:54,Elite Men,Edmonton,546,54,1864,28,1040,3534,Declan Wilson
121,Ivan,Ivanov,UKR,49,0:09:05,0:00:54,0:32:23,0:00:26,0:16:31,35,0:59:21,Elite Men,Edmonton,545,54,1943,26,991,3561,Ivan Ivanov
122,Tyler,Mislawchuk,CAN,41,0:08:46,0:00:53,0:30:11,0:00:24,0:19:20,36,0:59:36,Elite Men,Edmonton,526,53,1811,24,1160,3576,Tyler Mislawchuk
123,Andreas,Schilling,DEN,9,0:09:15,0:00:54,0:29:52,0:00:28,0:19:24,37,0:59:54,Elite Men,Edmonton,555,54,1792,28,1164,3594,Andreas Schilling
124,Matthew,Hauser,AUS,27,0:09:08,0:00:55,0:32:18,0:00:23,0:17:12,38,0:59:58,Elite Men,Edmonton,548,55,1938,23,1032,3598,Matthew Hauser
125,Shogo,Ishitsuka,JPN,45,0:08:53,0:00:55,0:32:34,0:00:27,0:17:15,39,1:00:05,Elite Men,Edmonton,533,55,1954,27,1035,3605,Shogo Ishitsuka
126,Bob,Haller,LUX,35,0:09:10,0:00:50,0:32:20,0:00:25,0:17:33,40,1:00:20,Elite Men,Edmonton,550,50,1940,25,1053,3620,Bob Haller
127,Shachar,Sagiv,ISR,15,0:09:02,0:00:54,0:33:35,0:00:24,0:16:24,41,1:00:20,Elite Men,Edmonton,542,54,2015,24,984,3620,Shachar Sagiv
128,Joao,Pereira,POR,10,0:08:57,0:00:53,0:30:00,0:00:24,0:12:21,DNF,DNF,Elite Men,Edmonton,537,53,1800,24,741,0,Joao Pereira
129,Dorian,Coninx,FRA,11,0:08:57,0:00:57,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Edmonton,537,57,0,0,0,0,Dorian Coninx
130,Matthew,McElroy,USA,26,0:09:10,0:00:51,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Edmonton,550,51,0,0,0,0,Matthew McElroy
131,Daniel,Hoy,NZL,29,0:09:14,0:00:53,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Edmonton,554,53,0,0,0,0,Daniel Hoy
132,Dmitry,Polyanskiy,RUS,30,0:08:41,0:00:54,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Edmonton,521,54,0,0,0,0,Dmitry Polyanskiy
133,Miguel,Arraiolos,POR,33,0:09:05,0:00:54,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Edmonton,545,54,0,0,0,0,Miguel Arraiolos
134,Mohamad,Alsabbagh,SYR,51,0:09:06,0:00:57,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Edmonton,546,57,0,0,0,0,Mohamad Alsabbagh
135,Gustav,Iden,NOR,31,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,DNS,DNS,Elite Men,Edmonton,0,0,0,0,0,0,Gustav Iden
136,Jose,Gomez De La Torre Prato,PER,50,0:09:38,0:01:08,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Men,Edmonton,578,68,0,0,0,0,Jose Gomez De La Torre Prato
137,Flora,Duffy,BER,3,0:09:22,0:00:56,0:32:11,0:00:30,0:17:21,1,1:00:22,Elite Women,Edmonton,562,56,1931,30,1041,3622,Flora Duffy
138,Taylor,Knibb,USA,27,0:09:20,0:01:00,0:32:21,0:00:30,0:18:09,2,1:01:22,Elite Women,Edmonton,560,60,1941,30,1089,3682,Taylor Knibb
139,Katie,Zaferes,USA,1,0:09:23,0:00:55,0:33:48,0:00:29,0:17:14,3,1:01:51,Elite Women,Edmonton,563,55,2028,29,1034,3711,Katie Zaferes
140,Summer,Cook,USA,11,0:09:16,0:01:02,0:33:50,0:00:26,0:17:26,4,1:02:03,Elite Women,Edmonton,556,62,2030,26,1046,3723,Summer Cook
141,Jolanda,Annen,SUI,8,0:09:35,0:00:57,0:33:32,0:00:27,0:17:35,5,1:02:09,Elite Women,Edmonton,575,57,2012,27,1055,3729,Jolanda Annen
142,Rachel,Klamer,NED,7,0:09:30,0:00:58,0:33:35,0:00:28,0:17:40,6,1:02:14,Elite Women,Edmonton,570,58,2015,28,1060,3734,Rachel Klamer
143,Joanna,Brown,CAN,20,0:09:40,0:00:56,0:33:28,0:00:29,0:17:43,7,1:02:20,Elite Women,Edmonton,580,56,2008,29,1063,3740,Joanna Brown
144,Yuka,Sato,JPN,15,0:09:36,0:00:59,0:33:30,0:00:29,0:17:49,8,1:02:26,Elite Women,Edmonton,576,59,2010,29,1069,3746,Yuka Sato
145,Kirsten,Kasper,USA,2,0:09:24,0:00:56,0:33:44,0:00:27,0:18:08,9,1:02:42,Elite Women,Edmonton,564,56,2024,27,1088,3762,Kirsten Kasper
146,Chelsea,Burns,USA,23,0:09:37,0:00:57,0:33:31,0:00:28,0:18:19,10,1:02:54,Elite Women,Edmonton,577,57,2011,28,1099,3774,Chelsea Burns
